"id","source","coin","satoshis","wei","usdt","timestamp"
415,0,"NAV",18290,,,1508341182.4075
416,0,"ARDR",4249,,,1508341182.4075
417,0,"LTC",1052906,,,1508341182.4075
418,0,"XCP",153092,,,1508341182.4075
419,0,"DGB",193,,,1508341182.4075
420,0,"AMP",2314,,,1508341182.4075
421,0,"BTC",100000000,,5246.79278355,1508341243.36587
422,0,"ETH",5690000,100000000,299.32999999,1508341243.36587
423,0,"NXT",1202,,,1508341243.36587
424,0,"BTM",8394,,,1508341243.36587
425,0,"MAID",7188,,,1508341243.36587
426,0,"XRP",4151,,,1508341243.36587
427,0,"EXP",32855,,,1508341243.36587
428,0,"STRAT",59172,,,1508341243.36587
429,0,"VTC",29779,,,1508341243.36587
430,0,"DCR",497494,,,1508341243.36587
431,0,"NEOS",42544,,,1508341243.36587
432,0,"PPC",20726,,,1508341243.36587
433,0,"VIA",19970,,,1508341243.36587
434,0,"STEEM",20074,,,1508341243.36587
435,0,"BCY",4900,,,1508341243.36587
436,0,"SBD",18097,,,1508341243.36587
437,0,"GNO",1521047,,,1508341243.36587
438,0,"DOGE",19,,,1508341243.36587
439,0,"PINK",383,,,1508341243.36587
440,0,"RIC",743,,,1508341243.36587
441,0,"BLK",3158,,,1508341243.36587
442,0,"SYS",3489,,,1508341243.36587
443,0,"SJCX",8253,,,1508341243.36587
444,0,"HUC",1261,,,1508341243.36587
445,0,"LSK",91538,,,1508341243.36587
446,0,"CVC",5893,,,1508341243.36587
447,0,"RADS",67662,,,1508341243.36587
448,0,"SC",78,,,1508341243.36587
449,0,"FCT",305477,,,1508341243.36587
450,0,"ZRX",3938,,,1508341243.36587
451,0,"STR",708,,,1508341243.36587
452,0,"XBC",830240,,,1508341243.36587
453,0,"NOTE",697,,,1508341243.36587
454,0,"NXC",4550,,,1508341243.36587
455,0,"BCH",6028814,,,1508341243.36587
456,0,"XVC",4187,,,1508341243.36587
457,0,"GAME",36174,,,1508341243.36587
458,0,"ZEC",4174063,,,1508341243.36587
459,0,"XEM",4050,,,1508341243.36587
460,0,"XMR",1662003,,,1508341243.36587
461,0,"EMC2",1615,,,1508341243.36587
462,0,"REP",340000,,,1508341243.36587
463,0,"POT",1283,,,1508341243.36587
464,0,"NMC",20758,,,1508341243.36587
465,0,"FLDC",158,,,1508341243.36587
466,0,"BCN",25,,,1508341243.36587
467,0,"FLO",1248,,,1508341243.36587
468,0,"XPM",1950,,,1508341243.36587
469,0,"BELA",1825,,,1508341243.36587
470,0,"GAS",386865,,,1508341243.36587
471,0,"CLAM",72912,,,1508341243.36587
472,0,"OMG",149550,,,1508341243.36587
473,0,"LBC",3100,,,1508341243.36587
474,0,"PASC",4685,,,1508341243.36587
475,0,"GNT",3918,,,1508341243.36587
476,0,"OMNI",410052,,,1508341243.36587
477,0,"BURST",120,,,1508341243.36587
478,0,"VRC",5781,,,1508341243.36587
479,0,"GRC",602,,,1508341243.36587
480,0,"BTCD",1533000,,,1508341243.36587
481,0,"NAUT",1870,,,1508341243.36587
482,0,"ETC",208530,,,1508341243.36587
483,0,"BTS",1054,,,1508341243.36587
484,0,"DASH",5371214,,,1508341243.36587
485,0,"NAV",18300,,,1508341243.36587
486,0,"ARDR",4249,,,1508341243.36587
487,0,"LTC",1052904,,,1508341243.36587
488,0,"XCP",153092,,,1508341243.36587
489,0,"DGB",193,,,1508341243.36587
490,0,"AMP",2314,,,1508341243.36587
491,0,"BTC",100000000,,5232.47278502,1508341304.15101
492,0,"ETH",5692351,100000000,299.32999994,1508341304.15101
493,0,"NXT",1203,,,1508341304.15101
494,0,"BTM",8394,,,1508341304.15101
495,0,"MAID",7188,,,1508341304.15101
496,0,"XRP",4166,,,1508341304.15101
